Instance,Income
111994,33443.188
111995,14822.422
111996,41495.98
111997,141042.1
111998,17387.666
111999,95783.01
112000,96712.26
112001,42811.824
112002,31642.744
112003,103462.1
112004,13516.3545
112005,202255.3
112006,34948.95
112007,110518.64
112008,252737.45
112009,73945.164
112010,41280.094
112011,25089.03
112012,10835.882
112013,16441.275
112014,107206.695
112015,49601.98
112016,45776.1
112017,19343.98
112018,114149.56
112019,50637.99
112020,34770.875
112021,24306.824
112022,97355.65
112023,60570.195
112024,24425.69
112025,85544.22
112026,55435.836
112027,61122.535
112028,34538.984
112029,35338.402
112030,178343.05
112031,238752.0
112032,264956.53
112033,105168.94
112034,168467.0
112035,104483.805
112036,196765.19
112037,112356.234
112038,206661.67
112039,51156.47
112040,65879.93
112041,70045.8
112042,39970.117
112043,66284.79
112044,58164.37
112045,11299.709
112046,250040.62
112047,32401.176
112048,38506.14
112049,97789.36
112050,49519.29
112051,67742.32
112052,118833.53
112053,223385.72
112054,85510.05
112055,31069.139
112056,101715.945
112057,14428.855
112058,36692.664
112059,32591.785
112060,234679.25
112061,140345.8
112062,207563.8
112063,60466.93
112064,10227.497
112065,30264.14
112066,12781.159
112067,127831.61
112068,58010.92
112069,246051.27
112070,313973.53
112071,45465.65
112072,80280.94
112073,33526.605
112074,19446.875
112075,20742.992
112076,123832.766
112077,1137145.6
112078,7146.9653
112079,192473.58
112080,83509.73
112081,944496.3
112082,31132.9
112083,22367.293
112084,15087.671
112085,47884.824
112086,33436.125
112087,77841.164
112088,126954.84
112089,45609.58
112090,200208.02
112091,43907.7
112092,30531.76
112093,88211.266
112094,33486.812
112095,36736.1
112096,67787.35
112097,20433.123
112098,31281.041
112099,35158.93
112100,40957.023
112101,229069.64
112102,36498.336
112103,162667.23
112104,70907.414
112105,36694.94
112106,106442.48
112107,126956.305
112108,68289.09
112109,21732.223
112110,39153.832
112111,28312.277
112112,51881.434
112113,68198.87
112114,67785.24
112115,14892.568
112116,35957.043
112117,70372.055
112118,32227.463
112119,30188.832
112120,543660.9
112121,125020.2
112122,368208.84
112123,173303.44
112124,43324.28
112125,194379.02
112126,192445.05
112127,17958.924
112128,40727.543
112129,115931.6
112130,82115.23
112131,24259.812
112132,82992.625
112133,242583.27
112134,19976.104
112135,17648.014
112136,56869.633
112137,13954.223
112138,14867.022
112139,62291.74
112140,41972.42
112141,43744.234
112142,52365.85
112143,199964.77
112144,28978.842
112145,26940.797
112146,52215.715
112147,275278.34
112148,48792.027
112149,58263.508
112150,3628.0571
112151,350379.75
112152,90463.75
112153,61895.39
112154,30362.592
112155,93609.91
112156,78069.87
112157,93317.66
112158,42410.266
112159,249794.97
112160,48002.0
112161,147002.47
112162,100635.62
112163,13227.123
112164,28573.1
112165,143675.36
112166,46999.348
112167,15347.102
112168,48263.043
112169,312232.84
112170,261428.78
112171,44660.598
112172,22566.605
112173,113571.46
112174,32536.898
112175,29986.006
112176,28027.754
112177,126852.555
112178,24104.633
112179,31117.498
112180,35928.363
112181,16195.924
112182,245464.72
112183,96159.375
112184,24728.092
112185,297438.2
112186,3459.225
112187,140577.1
112188,98117.96
112189,36334.152
112190,43632.76
112191,87199.15
112192,204234.62
112193,29290.207
112194,192997.64
112195,40585.434
112196,22631.885
112197,234664.56
112198,29419.69
112199,43923.156
112200,56578.703
112201,303225.53
112202,133456.53
112203,37432.2
112204,36351.246
112205,7446.2344
112206,121348.52
112207,296877.1
112208,64504.71
112209,396240.88
112210,52569.42
112211,233316.86
112212,56583.574
112213,21807.848
112214,217923.33
112215,38008.316
112216,117379.58
112217,36874.684
112218,42284.43
112219,384326.6
112220,21020.795
112221,11217.274
112222,28289.916
112223,50595.86
112224,132954.94
112225,12472.045
112226,62184.14
112227,63951.164
112228,108639.4
112229,60924.56
112230,216647.44
112231,13602.817
112232,149481.67
112233,15728.359
112234,49462.457
112235,22788.703
112236,73352.516
112237,368352.78
112238,44983.184
112239,4103.464
112240,8231.754
112241,18628.71
112242,45929.016
112243,67470.06
112244,187320.48
112245,106456.664
112246,45108.465
112247,434565.22
112248,95816.56
112249,16685.285
112250,42708.168
112251,53269.688
112252,61789.85
112253,34644.03
112254,320558.3
112255,34682.14
112256,36960.555
112257,37684.72
112258,506700.78
112259,177971.19
112260,138538.1
112261,368571.47
112262,87651.48
112263,34199.74
112264,46787.71
112265,10671.511
112266,38780.95
112267,50883.207
112268,30359.912
112269,393481.47
112270,21614.752
112271,83407.67
112272,82265.484
112273,145964.28
112274,12279.911
112275,186685.11
112276,228773.75
112277,74563.24
112278,31275.994
112279,14193.06
112280,152826.64
112281,69088.48
112282,229145.02
112283,101907.2
112284,73921.79
112285,66547.4
112286,32219.133
112287,39451.156
112288,91822.38
112289,248413.19
112290,190431.33
112291,21877.002
112292,611990.25
112293,24217.24
112294,356194.94
112295,26499.477
112296,234681.58
112297,59314.69
112298,55284.19
112299,41850.344
112300,13892.993
112301,32884.176
112302,17479.158
112303,37959.07
112304,186911.78
112305,25154.27
112306,54901.895
112307,32260.436
112308,101939.49
112309,74042.52
112310,37219.676
112311,96752.484
112312,32354.617
112313,108182.47
112314,93419.84
112315,168510.78
112316,44596.27
112317,17235.12
112318,32701.266
112319,27145.549
112320,837237.9
112321,39082.88
112322,16176.509
112323,114277.4
112324,364084.25
112325,251968.1
112326,118387.0
112327,182684.86
112328,117551.9
112329,156030.97
112330,371305.4
112331,330265.97
112332,188345.17
112333,363914.5
112334,187088.55
112335,61674.645
112336,27158.32
112337,260554.5
112338,303385.34
112339,238325.81
112340,48813.81
112341,1108321.9
112342,36680.367
112343,78819.27
112344,30942.924
112345,36921.008
112346,85609.13
112347,18332.146
112348,22087.75
112349,19804.22
112350,101266.86
112351,31553.94
112352,45840.812
112353,-5400.577
112354,114034.15
112355,46465.234
112356,57595.188
112357,64077.44
112358,89281.34
112359,39891.87
112360,17296.457
112361,157867.45
112362,64400.863
112363,63708.094
112364,13180.64
112365,7752.754
112366,17430.305
112367,21611.78
112368,41806.77
112369,163635.95
112370,30865.717
112371,420130.47
112372,123813.164
112373,46278.13
112374,29007.799
112375,19953.346
112376,99053.85
112377,114910.125
112378,62470.15
112379,85504.92
112380,61731.01
112381,68670.42
